tag,rules,number of rules
HOW_choice,16; 17; 19; 20; 25; 32; 34; 47; 51; 52; 55; 59; 63; 80; 81; 83; 85; 90,18
HOW_consistentRedundancy,5; 11; 12; 34; 35; 36; 37; 46; 48; 57; 58; 79; 86; 87,14
HOW_constrainedNode,1; 3; 13; 15; 17; 24; 35; 36; 45; 47; 50; 53; 54; 57; 62; 76; 78; 80; 91,19
HOW_controlCycleDetection,72; 82,2
HOW_executionInstructions,84; 88; 89; 95,4
HOW_location,6; 7; 8; 61; 65; 70; 71; 79,8
HOW_resolveToDefinition,10; 65; 86; 95,4
HOW_unique,2; 14; 18; 22; 23; 44; 64; 66; 67; 68; 69; 76; 86; 92; 93,15
WHAT_WSDL,1; 2; 5; 10; 11; 12; 13; 14; 19; 20; 22; 45; 46; 47; 48; 50; 53; 54; 58; 84; 87; 88,22
WHAT_XSD,10; 11; 12; 13; 14; 45,6
WHAT_assignment,10; 32; 34; 35; 36; 37,6
WHAT_correlation,10; 44; 45; 46; 88,5
WHAT_eventHandler,83; 86; 88; 89; 95,5
WHAT_fct,3; 6; 7; 8; 10; 70; 71; 78; 79; 80; 81; 93,12
WHAT_flow,64; 65; 66; 67; 68; 69; 70; 71; 72; 82,10
WHAT_loops,62; 70; 76; 83,4
WHAT_messageActivities,5; 10; 46; 47; 48; 50; 51; 52; 53; 54; 55; 58; 59; 61; 63; 78; 84; 85; 87; 89; 90,21
WHAT_messageAssignment,47; 48; 50; 51; 52; 53; 54; 55; 58; 59; 63; 85; 87; 90,14
WHAT_partnerLink,5; 10; 16; 17; 18; 35; 36; 37; 84,9
WHAT_processAndScope,3; 18; 23; 44; 61; 78; 79; 80; 82; 83; 88; 91; 92; 93,14
WHAT_startActivities,15; 57; 62,3
WHAT_variable,10; 23; 24; 25; 34; 48; 58; 86; 90,9